Sample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MEMO001	pWCP_from_Culex_O07 1 9212 374 6728 73.0352 3.81828 35.3 38.2
MEMO002	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO003	pWCP_from_Culex_O07 1 9212 75 3262 35.4103 0.755753 35.4 35.5
MEMO004	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO005	pWCP_from_Culex_O07 1 9212 2768 9126 99.0664 31.1107 35.4 39.2
MEMO006	pWCP_from_Culex_O07 1 9212 189 5366 58.2501 2.25337 35.2 40.1
MEMO007	pWCP_from_Culex_O07 1 9212 471 7304 79.2879 4.96819 35.4 39.4
MEMO008	pWCP_from_Culex_O07 1 9212 557 6679 72.5033 6.29266 35.3 39.2
MEMO010	pWCP_from_Culex_O07 1 9212 724 8434 91.5545 7.92499 35.3 39.8
MEMO011	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO012	pWCP_from_Culex_O07 1 9212 823 7805 84.7264 10.0042 35.2 40.2
MEMO013	pWCP_from_Culex_O07 1 9212 224 5311 57.6531 2.32935 35.4 37.9
MEMO014	pWCP_from_Culex_O07 1 9212 688 7071 76.7586 7.26324 35.5 38.9
MEMO015	pWCP_from_Culex_O07 1 9212 686 7500 81.4155 7.95929 35.3 39.1
MEMO016	pWCP_from_Culex_O07 1 9212 113 3657 39.6982 1.02182 35.6 34.7
MEMO017	pWCP_from_Culex_O07 1 9212 14 665 7.21884 0.128745 35.3 29
MEMO018	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO019	pWCP_from_Culex_O07 1 9212 1165 8520 92.4881 12.2698 35.3 38.5
MEMO021	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO022	pWCP_from_Culex_O07 1 9212 713 8080 87.7117 8.8528 35.3 40.6
MEMO023	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO024	pWCP_from_Culex_O07 1 9212 3622 9158 99.4138 47.4252 35.2 41
MEMO025	pWCP_from_Culex_O07 1 9212 1343 8237 89.416 16.3979 35.3 40
MEMO026	pWCP_from_Culex_O07 1 9212 3347 8892 96.5263 41.1791 35.3 40.6
MEMO027	pWCP_from_Culex_O07 1 9212 1197 8312 90.2301 13.9945 35.4 39.2
MEMO028	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO029	pWCP_from_Culex_O07 1 9212 904 8261 89.6765 9.90371 35.2 39.5
MEMO030	pWCP_from_Culex_O07 1 9212 338 6315 68.5519 3.69583 35.4 38
MEMO031	pWCP_from_Culex_O07 1 9212 781 8163 88.6127 9.76238 35.3 40.4
MEMO032	pWCP_from_Culex_O07 1 9212 49 2058 22.3404 0.480677 35.2 32.4
MEMO033	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO034	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO035	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO036	pWCP_from_Culex_O07 1 9212 354 6352 68.9535 3.78875 35.3 38.8
MEMO037	pWCP_from_Culex_O07 1 9212 1160 8676 94.1815 13.5356 35.3 39.4
MEMO038	pWCP_from_Culex_O07 1 9212 335 7217 78.3435 3.47829 35.5 38.7
MEMO039	pWCP_from_Culex_O07 1 9212 2157 8889 96.4937 25.0433 35.4 39.7
MEMO040	pWCP_from_Culex_O07 1 9212 710 7505 81.4698 8.84043 35.3 40.3
MEMO041	pWCP_from_Culex_O07 1 9212 1616 8991 97.601 20.0917 35.3 40.1
MEMO042	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO043	pWCP_from_Culex_O07 1 9212 740 7931 86.0942 9.09043 35.3 40.7
MEMO044	pWCP_from_Culex_O07 1 9212 1 70 0.759878 0.00759878 35.9 42
MEMO045	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO047	pWCP_from_Culex_O07 1 9212 204 4466 48.4802 2.03419 35.5 36.1
MEMO048	pWCP_from_Culex_O07 1 9212 318 6381 69.2683 4.07599 35.4 40.8
MEMO049	pWCP_from_Culex_O07 1 9212 482 7504 81.459 6.0305 35.2 40.8
MEMO050	pWCP_from_Culex_O07 1 9212 5748 9212 100 66.8463 35.3 40.3
MEMO051	pWCP_from_Culex_O07 1 9212 925 8314 90.2518 9.86995 35.4 39.2
MEMO052	pWCP_from_Culex_O07 1 9212 97 4259 46.2332 1.07686 35.1 40.6
MEMO053	pWCP_from_Culex_O07 1 9212 1592 8800 95.5276 18.9208 35.3 40.7
MEMO054	pWCP_from_Culex_O07 1 9212 2123 8803 95.5601 26.973 35.3 40.8
MEMO055	pWCP_from_Culex_O07 1 9212 1674 8825 95.799 20.1024 35.3 40.4
MEMO056	pWCP_from_Culex_O07 1 9212 265 6493 70.4842 3.08283 35.2 39.4
MEMO057	pWCP_from_Culex_O07 1 9212 531 7894 85.6926 6.52605 35.3 40
MEMO058	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO059	pWCP_from_Culex_O07 1 9212 1792 8573 93.0634 19.8615 35.4 40.2
MEMO060	pWCP_from_Culex_O07 1 9212 140 3882 42.1407 1.49273 35.3 37.7
MEMO061	pWCP_from_Culex_O07 1 9212 101 3875 42.0647 1.02616 35.3 37.5
MEMO062	pWCP_from_Culex_O07 1 9212 256 6196 67.2601 2.70245 35.4 39.4
MEMO063	pWCP_from_Culex_O07 1 9212 97 3519 38.2002 1.09216 35.4 39.6
MEMO064	pWCP_from_Culex_O07 1 9212 141 4440 48.198 1.39373 35.2 39.2
MEMO065	pWCP_from_Culex_O07 1 9212 710 8196 88.9709 8.19724 35.3 39.8
MEMO066	pWCP_from_Culex_O07 1 9212 758 7816 84.8459 7.64991 35.4 39.6
MEMO067	pWCP_from_Culex_O07 1 9212 30 1077 11.6913 0.29733 35.6 35.7
MEMO068	pWCP_from_Culex_O07 1 9212 24 1348 14.6331 0.266717 35.3 34.7
MEMO069	pWCP_from_Culex_O07 1 9212 97 3244 35.2149 1.0571 35.5 38.8
MEMO070	pWCP_from_Culex_O07 1 9212 1451 8924 96.8736 15.9573 35.3 39.2
MEMO071	pWCP_from_Culex_O07 1 9212 3310 9166 99.5007 38.2029 35.3 40.3
MEMO072	pWCP_from_Culex_O07 1 9212 64 2471 26.8237 0.634173 35.4 38.8
MEMO073	pWCP_from_Culex_O07 1 9212 1403 9066 98.4151 15.8162 35.3 39.6
MEMO074	pWCP_from_Culex_O07 1 9212 42 2288 24.8372 0.452128 35.1 41
MEMO075	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO077	pWCP_from_Culex_O07 1 9212 8 446 4.84151 0.0859748 35.6 41.5
MEMO078	pWCP_from_Culex_O07 1 9212 455 7917 85.9422 5.39264 35.4 40.9
MEMO079	pWCP_from_Culex_O07 1 9212 12 609 6.61094 0.141446 35.3 42
MEMO080	pWCP_from_Culex_O07 1 9212 20 1158 12.5706 0.199848 35.1 36.3
MEMO081	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO082	pWCP_from_Culex_O07 1 9212 1128 8536 92.6617 12.5426 35.4 40.2
MEMO083	pWCP_from_Culex_O07 1 9212 957 8101 87.9396 10.8707 35.3 40.2
MEMO084	pWCP_from_Culex_O07 1 9212 14 741 8.04386 0.127117 35.6 38.9
MEMO085	pWCP_from_Culex_O07 1 9212 2379 9086 98.6322 27.0779 35.3 39.9
MEMO086	pWCP_from_Culex_O07 1 9212 115 4769 51.7694 1.37918 35.2 39.8
MEMO087	pWCP_from_Culex_O07 1 9212 3069 8862 96.2006 34.1939 35.4 39.6
MEMO088	pWCP_from_Culex_O07 1 9212 63 1826 19.822 0.604103 35.3 35.5
MEMO089	pWCP_from_Culex_O07 1 9212 546 6211 67.4229 5.84021 35.5 40.2
MEMO090	pWCP_from_Culex_O07 1 9212 190 4804 52.1494 1.94247 35.2 39.9
MEMO091	pWCP_from_Culex_O07 1 9212 75 2713 29.4507 0.735997 35.2 35.3
MEMO092	pWCP_from_Culex_O07 1 9212 234 5621 61.0182 2.53126 35.5 40.1
MEMO093	pWCP_from_Culex_O07 1 9212 788 8952 97.1776 9.51238 35.3 40.6
MEMO094	pWCP_from_Culex_O07 1 9212 204 5033 54.6353 2.0038 35.2 37.4
MEMO095	pWCP_from_Culex_O07 1 9212 794 8202 89.036 8.81372 35.3 40.1
MEMO096	pWCP_from_Culex_O07 1 9212 774 7717 83.7712 8.51335 35.3 39.1
MEMO097	pWCP_from_Culex_O07 1 9212 577 8534 92.64 6.68986 35.3 40.4
MEMO098	pWCP_from_Culex_O07 1 9212 33 1503 16.3157 0.372123 35.4 36.8
MEMO099	pWCP_from_Culex_O07 1 9212 775 7466 81.0465 7.96895 35.4 38.3
MEMO100	pWCP_from_Culex_O07 1 9212 332 6284 68.2154 3.39492 35.4 38.5
MEMO101	pWCP_from_Culex_O07 1 9212 222 5498 59.683 2.54896 35.4 40.5
MEMO102	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO103	pWCP_from_Culex_O07 1 9212 571 7552 81.98 6.2398 35.4 40.1
MEMO104	pWCP_from_Culex_O07 1 9212 976 7782 84.4768 10.5818 35.4 39.5
MEMO105	pWCP_from_Culex_O07 1 9212 1259 8639 93.7799 14.0674 35.3 40
MEMO106	pWCP_from_Culex_O07 1 9212 788 7726 83.8689 8.65512 35.3 39.4
MEMO107	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO108	pWCP_from_Culex_O07 1 9212 5567 9206 99.9349 68.122 35.3 40.2
MEMO109	pWCP_from_Culex_O07 1 9212 636 8076 87.6683 6.83 35.4 39
MEMO110	pWCP_from_Culex_O07 1 9212 139 4115 44.67 1.40957 35.4 38
MEMO111	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO112	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO113	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO115	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO116	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO117	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO118	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO119	pWCP_from_Culex_O07 1 9212 1065 8985 97.5358 13.0218 35.3 40.1
MEMO120	pWCP_from_Culex_O07 1 9212 2 214 2.32306 0.0282241 35.7 42
MEMO121	pWCP_from_Culex_O07 1 9212 1502 9093 98.7082 17.6027 35.3 40.7
MEMO122	pWCP_from_Culex_O07 1 9212 37 1923 20.8749 0.392966 35 42
MEMO123	pWCP_from_Culex_O07 1 9212 6 359 3.89709 0.0738168 35.4 42
MEMO124	pWCP_from_Culex_O07 1 9212 3 187 2.02996 0.0298524 34.8 30
MEMO125	pWCP_from_Culex_O07 1 9212 451 6984 75.8142 5.2766 35.4 40.1
MEMO126	pWCP_from_Culex_O07 1 9212 1862 8638 93.769 20.2762 35.3 39.9
MEMO127	pWCP_from_Culex_O07 1 9212 19787 9212 100 225.684 35.3 40.2
MEMO128	pWCP_from_Culex_O07 1 9212 3014 9103 98.8168 35.44 35.3 40.5
MEMO129	pWCP_from_Culex_O07 1 9212 11411 9212 100 137.802 35.3 40.5
MEMO130	pWCP_from_Culex_O07 1 9212 1577 9011 97.8181 18.0671 35.3 40.1
MEMO131	pWCP_from_Culex_O07 1 9212 200 5426 58.9014 2.12603 35.4 39
MEMO132	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO133	pWCP_from_Culex_O07 1 9212 1728 8923 96.8628 19.825 35.3 40.5
MEMO134	pWCP_from_Culex_O07 1 9212 4502 9153 99.3595 49.8773 35.3 39.9
MEMO135	pWCP_from_Culex_O07 1 9212 22 998 10.8337 0.19822 35.5 36.5
MEMO136	pWCP_from_Culex_O07 1 9212 82 2896 31.4373 0.863005 35.4 38.3
MEMO137	pWCP_from_Culex_O07 1 9212 558 7338 79.657 6.16533 35.5 39.3
MEMO138	pWCP_from_Culex_O07 1 9212 100 3832 41.5979 1.12647 35.4 37.8
MEMO139	pWCP_from_Culex_O07 1 9212 318 6253 67.8789 3.70864 35.4 39.8
MEMO140	pWCP_from_Culex_O07 1 9212 790 7877 85.508 8.84422 35.4 40
MEMO141	pWCP_from_Culex_O07 1 9212 1111 8444 91.663 12.722 35.3 39.5
MEMO142	pWCP_from_Culex_O07 1 9212 146 5404 58.6626 1.6358 35.4 39.3
MEMO143	pWCP_from_Culex_O07 1 9212 1721 9163 99.4681 22.1482 35.3 40.7
MEMO144	pWCP_from_Culex_O07 1 9212 85 3126 33.934 0.996092 35.1 36.1
MEMO145	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
MEMO146	pWCP_from_Culex_O07 1 9212 160 5324 57.7942 1.84195 35.2 40.5
MEMO147	pWCP_from_Culex_O07 1 9212 38 1735 18.8341 0.384064 35.5 40.2
MEMO148	pWCP_from_Culex_O07 1 9212 2 100 1.08554 0.0175858 34.8 42
MEMO149	pWCP_from_Culex_O07 1 9212 2095 8736 94.8328 23.5248 35.3 40.5
NEMO01	pWCP_from_Culex_O07 1 9212 82 3337 36.2245 0.862245 35.3 40.9
NEMO02	pWCP_from_Culex_O07 1 9212 195 4816 52.2796 2.10106 35.4 40.1
NEMO03	pWCP_from_Culex_O07 1 9212 4715 9083 98.5997 54.5429 35.5 40.5
NEMO04	pWCP_from_Culex_O07 1 9212 40 1599 17.3578 0.432479 35.6 42
NEMO05	pWCP_from_Culex_O07 1 9212 31 1375 14.9262 0.274316 35.9 40.7
NEMO06	pWCP_from_Culex_O07 1 9212 276 5850 63.5041 3.06633 35.5 38.9
NEMO07	pWCP_from_Culex_O07 1 9212 10 392 4.25532 0.084238 35.4 41.6
NEMO08	pWCP_from_Culex_O07 1 9212 47 2027 22.0039 0.490556 35.7 38.3
NEMO09	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
NEMO10	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
NEMO11	pWCP_from_Culex_O07 1 9212 302 6469 70.2236 3.36279 35.6 40.3
NEMO12	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
NEMO13	pWCP_from_Culex_O07 1 9212 307 7091 76.9757 3.74218 35.4 38.4
NEMO14	pWCP_from_Culex_O07 1 9212 132 3933 42.6943 1.53973 35.7 39.8
NEMO15	pWCP_from_Culex_O07 1 9212 1156 8362 90.7729 13.3483 35.6 40
NEMO16	pWCP_from_Culex_O07 1 9212 1347 8430 91.5111 16.1073 35.6 40.6
NEMO17	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
NEMO18	pWCP_from_Culex_O07 1 9212 446 6721 72.9592 5.26889 35.6 40.2
NEMO19	pWCP_from_Culex_O07 1 9212 42 2097 22.7638 0.509987 35.6 38.1
NEMO20	pWCP_from_Culex_O07 1 9212 149 4330 47.0039 1.76856 35.6 39.6
NEMO21	pWCP_from_Culex_O07 1 9212 639 6957 75.5211 7.40458 35.6 38.9
NEMO22	pWCP_from_Culex_O07 1 9212 716 7794 84.607 7.94627 35.5 39.9
NEMO23	pWCP_from_Culex_O07 1 9212 1701 8329 90.4147 19.1909 35.6 40.2
NEMO24	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
NEMO25	pWCP_from_Culex_O07 1 9212 213 5070 55.0369 2.45213 35.5 40.4
NEMO26	pWCP_from_Culex_O07 1 9212 0 0 0 0 0 0
NEMO27	pWCP_from_Culex_O07 1 9212 204 5695 61.8215 2.33109 35.5 40.2
NEMO28	pWCP_from_Culex_O07 1 9212 1258 8662 94.0295 14.1345 35.5 40.1
NEMO29	pWCP_from_Culex_O07 1 9212 176 5053 54.8524 1.98339 35.6 39.6
NEMO30	pWCP_from_Culex_O07 1 9212 206 5991 65.0347 2.36843 35.6 39.4
NEMO31	pWCP_from_Culex_O07 1 9212 289 6365 69.0947 3.22275 35.5 39.1
NEMO32	pWCP_from_Culex_O07 1 9212 2740 8917 96.7977 31.6214 35.5 40.2
NEMO33	pWCP_from_Culex_O07 1 9212 4180 9011 97.8181 50.0551 35.5 40.3
NEMO34	pWCP_from_Culex_O07 1 9212 132 4237 45.9944 1.57023 35.4 39.5
NEMO35	pWCP_from_Culex_O07 1 9212 428 6957 75.5211 5.12256 35.4 39.5
NEMO36	pWCP_from_Culex_O07 1 9212 23 1560 16.9344 0.258793 35.6 40.3
NEMO37	pWCP_from_Culex_O07 1 9212 1784 8586 93.2045 21.0403 35.5 39.6
NEMO38	pWCP_from_Culex_O07 1 9212 244 5527 59.9978 2.73914 35.5 39.1
NEMO40	pWCP_from_Culex_O07 1 9212 1544 8884 96.4394 18.108 35.5 40.1
NEMO41	pWCP_from_Culex_O07 1 9212 4 274 2.97438 0.0497178 35.6 42
NEMO42	pWCP_from_Culex_O07 1 9212 454 6980 75.7707 4.97395 35.5 38.5
NEMO43	pWCP_from_Culex_O07 1 9212 538 6999 75.977 6.12592 35.6 40.3
NEMO44	pWCP_from_Culex_O07 1 9212 1516 8675 94.1706 16.3965 35.5 40.3
NEMO45	pWCP_from_Culex_O07 1 9212 902 8374 90.9032 11.2918 35.6 40.6
NEMO46	pWCP_from_Culex_O07 1 9212 875 8253 89.5897 10.5322 35.5 40.4
NEMO47	pWCP_from_Culex_O07 1 9212 14 675 7.3274 0.180417 35.6 42
NEMO48	pWCP_from_Culex_O07 1 9212 384 6667 72.373 4.19855 35.7 39.7
NEMO49	pWCP_from_Culex_O07 1 9212 34 1637 17.7703 0.358337 35.7 41.9
NEMO50	pWCP_from_Culex_O07 1 9212 153 4879 52.9635 1.72178 35.4 39.7
NEMO51	pWCP_from_Culex_O07 1 9212 591 7521 81.6435 7.13396 35.5 39.9
NEMO52	pWCP_from_Culex_O07 1 9212 473 7524 81.6761 5.6332 35.5 39.9
NEMO53	pWCP_from_Culex_O07 1 9212 1566 8339 90.5232 18.0991 35.5 39.8
NEMO54	pWCP_from_Culex_O07 1 9212 12 649 7.04516 0.142423 35.6 38.7
